"Position","Model Name","Availability Date","Market Segment","Number of Seats","Range","Efficiency","Weight","Acceleration 0-100","1-Stop Range","Battery Capacity","Fastcharge Speed","Towing Capacity","Cargo Volume","Price per Range","Price in Germany","Price in Netherlands","Price in UK","Vehicle URL","Image URL"
55,"Hyundai IONIQ Electric","Discontinued (October 2019 - July 2022)","C",5,"250 km","153 Wh/km","1.602 kg","9,7 sec","230 km","38,3 kWh","36 kW","0 kg","357 L","€146 /km","€35,350","€37,015","£32,050","https://ev-database.org/car/1165/Hyundai-IONIQ-Electric","https://ev-database.org/img/auto/Hyundai_IONIQ_Electric_2020/Hyundai_IONIQ_Electric_2020-01-thumb.jpg"
56,"Nissan Leaf","Discontinued (February 2018 - April 2022)","C",5,"235 km","166 Wh/km","1.580 kg","7,9 sec","218 km","39,0 kWh","40 kW","0 kg","435 L","€136 /km","€29,990","€33,340","£28,290","https://ev-database.org/car/1106/Nissan-Leaf","https://ev-database.org/img/auto/Nissan_Leaf_2018/Nissan_Leaf_2018-01-thumb.jpg"
57,"Hyundai Kona Electric 64 kWh","Discontinued (June 2021 - December 2023)","B",5,"390 km","164 Wh/km","1.760 kg","7,9 sec","363 km","64,0 kWh","64 kW","300 kg","332 L","€110 /km","€42,900","€41,995","£37,750","https://ev-database.org/car/1423/Hyundai-Kona-Electric-64-kWh","https://ev-database.org/img/auto/Hyundai_Kona_Electric_2021/Hyundai_Kona_Electric_2021-01-thumb.jpg"
58,"Skoda Enyaq 85","Available to order since January 2025","C",5,"460 km","167 Wh/km","2.141 kg","6,7 sec","482 km","77,0 kWh","120 kW","1.000 kg","585 L","€106 /km","€48,900","€45,990","£44,300","https://ev-database.org/car/3097/Skoda-Enyaq-85","https://ev-database.org/img/auto/Skoda_Enyaq_2025/Skoda_Enyaq_2025-01-thumb.jpg"
59,"Kia EV6 Long Range 2WD","Discontinued (October 2021 - November 2024)","C",5,"410 km","180 Wh/km","1.985 kg","7,3 sec","514 km","74,0 kWh","200 kW","1.600 kg","532 L","€126 /km","€51,990","€50,995","£45,245","https://ev-database.org/car/1481/Kia-EV6-Long-Range-2WD","https://ev-database.org/img/auto/Kia_EV6_2021/Kia_EV6_2021-01-thumb.jpg"
60,"BMW iX3","Discontinued (September 2021 - October 2024)","D",5,"385 km","192 Wh/km","2.255 kg","6,8 sec","411 km","74,0 kWh","104 kW","750 kg","510 L","€184 /km","€67,300","€71,462","£64,165","https://ev-database.org/car/1535/BMW-iX3","https://ev-database.org/img/auto/BMW_iX3_2022/BMW_iX3_2022-01-thumb.jpg"
61,"Tesla Model Y Long Range AWD Launch Series","Available to order since January 2025","D",5,"450 km","167 Wh/km","2.072 kg","4,3 sec","531 km","75,0 kWh","124 kW","1.600 kg","971 L","€144 /km","€61,970","€61,990","£60,990","https://ev-database.org/car/3106/Tesla-Model-Y-Long-Range-AWD-Launch-Series","https://ev-database.org/img/auto/Tesla_Model_Y_2025/Tesla_Model_Y_2025-01-thumb.jpg"
62,"Mercedes-Benz G 580","Available to order since April 2024","F",5,"360 km","322 Wh/km","3.085 kg","4,7 sec","359 km","116,0 kWh","150 kW","0 kg","555 L","€510 /km","€142,622","€200,303","£180,860","https://ev-database.org/car/2192/Mercedes-Benz-G-580","https://ev-database.org/img/auto/Mercedes_G-Class/Mercedes_G-Class-01-thumb.jpg"
63,"Renault Zoe ZE50 R110","Discontinued (November 2019 - May 2024)","B",5,"315 km","165 Wh/km","1.577 kg","11,4 sec","274 km","52,0 kWh","41 kW","0 kg","338 L","€111 /km","€36,840","€34,895","£29,095","https://ev-database.org/car/1164/Renault-Zoe-ZE50-R110","https://ev-database.org/img/auto/Renault_Zoe_2020/Renault_Zoe_2020-01-thumb.jpg"
64,"Tesla Model 3 Long Range Dual Motor","Discontinued (November 2020 - February 2022)","D",5,"465 km","155 Wh/km","1.919 kg","4,4 sec","534 km","72,0 kWh","108 kW","1.000 kg","649 L","€121 /km","€53,560","€57,990","£49,990","https://ev-database.org/car/1321/Tesla-Model-3-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg"
