"Position","Model Name","Availability Date","Market Segment","Number of Seats","Range","Efficiency","Weight","Acceleration 0-100","1-Stop Range","Battery Capacity","Fastcharge Speed","Towing Capacity","Cargo Volume","Price per Range","Price in Germany","Price in Netherlands","Price in UK","Vehicle URL","Image URL"
166,"XPENG P7 RWD Long Range","Available to order since February 2023","E",5,"495 km","167 Wh/km","2.095 kg","6,7 sec","554 km","82,7 kWh","138 kW","0 kg","440 L","€102 /km","€49,600","€51,188","N/A","https://ev-database.org/car/1821/XPENG-P7-RWD-Long-Range","https://ev-database.org/img/auto/XPENG_P7/XPENG_P7-01-thumb.jpg"
167,"Mercedes-Benz EQE 350+","Available to order since April 2024","E",5,"555 km","173 Wh/km","2.415 kg","6,5 sec","597 km","96,0 kWh","141 kW","750 kg","430 L","€136 /km","€71,412","€75,736","£68,360","https://ev-database.org/car/2205/Mercedes-Benz-EQE-350plus","https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg"
168,"Peugeot e-2008 SUV","Discontinued (November 2021 - July 2023)","B",5,"270 km","171 Wh/km","1.623 kg","8,5 sec","294 km","46,3 kWh","78 kW","0 kg","434 L","€146 /km","€37,900","€40,070","£35,150","https://ev-database.org/car/1584/Peugeot-e-2008-SUV","https://ev-database.org/img/auto/Peugeot_e-2008_SUV/Peugeot_e-2008_SUV-01-thumb.jpg"
169,"Volkswagen ID. Buzz NWB Pro","Available to order since June 2024","N",5,"360 km","219 Wh/km","2.510 kg","7,6 sec","398 km","79,0 kWh","135 kW","1.200 kg","1.121 L","€169 /km","€60,892","€53,990","£59,035","https://ev-database.org/car/2232/Volkswagen-ID-Buzz-NWB-Pro","https://ev-database.org/img/auto/Volkswagen_ID_Buzz/Volkswagen_ID_Buzz-01-thumb.jpg"
170,"Lucid Air Grand Touring","Available to order since February 2023","F",5,"665 km","168 Wh/km","2.435 kg","3,0 sec","763 km","112,0 kWh","184 kW","0 kg","739 L","€196 /km","€129,000","€132,000","N/A","https://ev-database.org/car/1316/Lucid-Air-Grand-Touring","https://ev-database.org/img/auto/Lucid_Air/Lucid_Air-01-thumb.jpg"
171,"Kia EV6 Long Range AWD","Available to order since September 2024","C",5,"450 km","178 Wh/km","2.060 kg","5,2 sec","558 km","80,0 kWh","205 kW","1.800 kg","510 L","€125 /km","€53,990","€55,495","£52,075","https://ev-database.org/car/3029/Kia-EV6-Long-Range-AWD","https://ev-database.org/img/auto/Kia_EV6_2024/Kia_EV6_2024-01-thumb.jpg"
172,"BMW i4 eDrive35","Discontinued (November 2022 - May 2024)","D",5,"430 km","156 Wh/km","2.065 kg","6,0 sec","487 km","67,0 kWh","95 kW","1.600 kg","470 L","€134 /km","€56,500","€59,362","£49,995","https://ev-database.org/car/1785/BMW-i4-eDrive35","https://ev-database.org/img/auto/BMW_i4_eDrive40/BMW_i4_eDrive40-01-thumb.jpg"
173,"Polestar 2 Long Range Single Motor","Available to order since June 2024","D",5,"475 km","166 Wh/km","2.075 kg","6,2 sec","533 km","79,0 kWh","125 kW","1.500 kg","448 L","€112 /km","€52,690","€51,200","£48,950","https://ev-database.org/car/2226/Polestar-2-Long-Range-Single-Motor","https://ev-database.org/img/auto/Polestar_2_2024/Polestar_2_2024-01-thumb.jpg"
174,"Kia EV4 Hatchback Long Range","Available to order from June 2025*","C",5,"475 km","164 Wh/km","1.900 kg","7,7 sec","498 km","78,0 kWh","105 kW","unknown","435 L","€96 /km","* €44,000","* €45,000","* £42,000","https://ev-database.org/car/3124/Kia-EV4-Hatchback-Long-Range","https://ev-database.org/img/auto/Kia_EV4_hatchback_2025/Kia_EV4_hatchback_2025-01-thumb.jpg"
175,"Volkswagen ID.4 Pure","Available to order since October 2023","C",5,"285 km","182 Wh/km","1.991 kg","9,0 sec","318 km","52,0 kWh","87 kW","1.000 kg","543 L","€146 /km","€40,335","€42,990","N/A","https://ev-database.org/car/2027/Volkswagen-ID4-Pure","https://ev-database.org/img/auto/Volkswagen_ID4_2024/Volkswagen_ID4_2024-01-thumb.jpg"
176,"Peugeot e-5008 97 kWh Long Range","Available to order since October 2024","D",7,"485 km","200 Wh/km","2.316 kg","9,6 sec","496 km","96,9 kWh","135 kW","1.000 kg","348 L","€115 /km","€55,250","€52,915","£51,350","https://ev-database.org/car/2151/Peugeot-e-5008-97-kWh-Long-Range","https://ev-database.org/img/auto/Peugeot_e-5008_2024/Peugeot_e-5008_2024-01-thumb.jpg"
177,"Skoda Enyaq iV 60","Discontinued (April 2021 - October 2023)","C",5,"340 km","171 Wh/km","1.965 kg","8,7 sec","361 km","58,0 kWh","82 kW","1.000 kg","585 L","€129 /km","€42,100","€44,990","£38,970","https://ev-database.org/car/1279/Skoda-Enyaq-iV-60","https://ev-database.org/img/auto/Skoda_Enyaq_iV_2020/Skoda_Enyaq_iV_2020-01-thumb.jpg"
178,"Hyundai IONIQ 5 Standard Range 2WD","Discontinued (July 2021 - August 2024)","C",5,"295 km","183 Wh/km","1.905 kg","8,5 sec","367 km","54,0 kWh","140 kW","750 kg","588 L","€162 /km","€43,900","€49,295","£43,445","https://ev-database.org/car/1476/Hyundai-IONIQ-5-Standard-Range-2WD","https://ev-database.org/img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb.jpg"
179,"Polestar 4 Long Range Dual Motor","Available to order since January 2024","E",5,"485 km","194 Wh/km","2.430 kg","3,8 sec","524 km","94,0 kWh","135 kW","2.000 kg","541 L","€152 /km","€71,200","€72,800","£66,990","https://ev-database.org/car/1842/Polestar-4-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Polestar_4_2024/Polestar_4_2024-01-thumb.jpg"
180,"Hyundai Kona Electric 48 kWh","Available to order since July 2023","B",5,"295 km","164 Wh/km","1.690 kg","8,8 sec","288 km","48,4 kWh","50 kW","300 kg","493 L","€138 /km","€41,990","€39,995","£34,995","https://ev-database.org/car/1829/Hyundai-Kona-Electric-48-kWh","https://ev-database.org/img/auto/Hyundai_Kona_Electric_2024/Hyundai_Kona_Electric_2024-01-thumb.jpg"
181,"Tesla Model 3 Performance","Discontinued (February 2022 - October 2023)","D",5,"460 km","163 Wh/km","1.919 kg","3,4 sec","543 km","75,0 kWh","124 kW","0 kg","649 L","€130 /km","€57,668","€54,993","£57,990","https://ev-database.org/car/1620/Tesla-Model-3-Performance","https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg"
182,"CUPRA Tavascan VZ","Available to order since June 2024","C",5,"425 km","181 Wh/km","2.273 kg","5,5 sec","446 km","77,0 kWh","120 kW","1.200 kg","540 L","€144 /km","€60,780","€58,990","£55,935","https://ev-database.org/car/1972/CUPRA-Tavascan-VZ","https://ev-database.org/img/auto/CUPRA_Tavascan_2024/CUPRA_Tavascan_2024-01-thumb.jpg"
183,"BMW iX xDrive45","Available to order since January 2025","E",5,"470 km","202 Wh/km","2.525 kg","5,1 sec","490 km","94,8 kWh","115 kW","2.500 kg","500 L","€182 /km","€83,500","€86,403","£75,305","https://ev-database.org/car/3109/BMW-iX-xDrive45","https://ev-database.org/img/auto/BMW_iX_2025/BMW_iX_2025-01-thumb.jpg"
184,"Volkswagen ID.3 Pro","Discontinued (July 2021 - December 2022)","C",5,"350 km","166 Wh/km","1.812 kg","9,6 sec","378 km","58,0 kWh","82 kW","0 kg","385 L","€104 /km","€35,460","€38,390","£30,700","https://ev-database.org/car/1531/Volkswagen-ID3-Pro","https://ev-database.org/img/auto/Volkswagen_ID3/Volkswagen_ID3-01-thumb.jpg"
185,"MG MG4 Electric 77 kWh","Available to order since August 2023","C",5,"425 km","175 Wh/km","1.826 kg","6,5 sec","454 km","74,4 kWh","110 kW","500 kg","363 L","€101 /km","€45,990","€41,285","£36,495","https://ev-database.org/car/1973/MG-MG4-Electric-77-kWh","https://ev-database.org/img/auto/MG_MG4_Electric_2022/MG_MG4_Electric_2022-01-thumb.jpg"
186,"Volvo EX30 Single Motor","Available to order since June 2023","B",5,"275 km","178 Wh/km","1.840 kg","5,7 sec","306 km","49,0 kWh","80 kW","1.000 kg","325 L","€136 /km","€39,790","€34,995","£32,850","https://ev-database.org/car/1909/Volvo-EX30-Single-Motor","https://ev-database.org/img/auto/Volvo_EX30_2024/Volvo_EX30_2024-01-thumb.jpg"
187,"Zeekr 001 Long Range RWD","Available to order since September 2023","E",5,"505 km","186 Wh/km","2.275 kg","7,2 sec","547 km","94,0 kWh","135 kW","1.500 kg","539 L","€119 /km","€60,970","€59,490","N/A","https://ev-database.org/car/1933/Zeekr-001-Long-Range-RWD","https://ev-database.org/img/auto/Zeekr_001_2023/Zeekr_001_2023-01-thumb.jpg"
188,"Tesla Model S P100D","Discontinued (September 2016 - February 2019)","F",5,"475 km","200 Wh/km","2.316 kg","2,7 sec","477 km","95,0 kWh","100 kW","0 kg","895 L","€311 /km","€145,420","€151,020","£127,750","https://ev-database.org/car/1075/Tesla-Model-S-P100D","https://ev-database.org/img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg"
189,"Peugeot e-2008 54 kWh","Available to order since July 2023","B",5,"300 km","169 Wh/km","1.623 kg","9,1 sec","324 km","50,8 kWh","85 kW","0 kg","434 L","€138 /km","€40,000","€41,270","£37,300","https://ev-database.org/car/1947/Peugeot-e-2008-54-kWh","https://ev-database.org/img/auto/Peugeot_e-2008_2024/Peugeot_e-2008_2024-01-thumb.jpg"
190,"BMW i3 94 Ah","Discontinued (July 2016 - August 2017)","B",4,"165 km","165 Wh/km","1.320 kg","7,3 sec","170 km","27,2 kWh","46 kW","unknown","260 L","€218 /km","€36,800","€38,227","£28,570","https://ev-database.org/car/1068/BMW-i3-94-Ah","https://ev-database.org/img/auto/BMW_i3_94Ah/BMW_i3_94Ah-01-thumb.jpg"
191,"Opel Astra Electric","Available to order since June 2023","C",5,"320 km","159 Wh/km","1.736 kg","9,2 sec","343 km","50,8 kWh","85 kW","0 kg","352 L","€131 /km","€41,990","€39,999","£37,795","https://ev-database.org/car/1792/Opel-Astra-Electric","https://ev-database.org/img/auto/Opel_Astra_Electric/Opel_Astra_Electric-01-thumb.jpg"
192,"Skoda Elroq 50","Available to order since October 2024","C",5,"310 km","168 Wh/km","1.949 kg","9,0 sec","351 km","52,0 kWh","90 kW","1.000 kg","470 L","€114 /km","€34,560","€34,990","£31,500","https://ev-database.org/car/3031/Skoda-Elroq-50","https://ev-database.org/img/auto/Skoda_Elroq_2024/Skoda_Elroq_2024-01-thumb.jpg"
193,"Ford Capri Extended Range RWD","Available to order since July 2024","D",5,"450 km","171 Wh/km","2.098 kg","6,4 sec","467 km","77,0 kWh","120 kW","1.000 kg","572 L","€114 /km","€50,911","€47,850","£48,075","https://ev-database.org/car/2241/Ford-Capri-Extended-Range-RWD","https://ev-database.org/img/auto/Ford_Capri_2024/Ford_Capri_2024-01-thumb.jpg"
194,"Nissan Leaf e+","Discontinued (June 2019 - April 2022)","C",5,"345 km","171 Wh/km","1.756 kg","7,3 sec","297 km","59,0 kWh","44 kW","0 kg","420 L","€112 /km","€37,550","€40,290","£32,945","https://ev-database.org/car/1144/Nissan-Leaf-eplus","https://ev-database.org/img/auto/Nissan_Leaf_2018/Nissan_Leaf_2018-01-thumb.jpg"
195,"Honda e","Discontinued (August 2020 - October 2022)","B",4,"170 km","168 Wh/km","1.588 kg","9,0 sec","169 km","28,5 kWh","32 kW","0 kg","171 L","€215 /km","€33,850","€36,160","£34,365","https://ev-database.org/car/1171/Honda-e","https://ev-database.org/img/auto/Honda_e/Honda_e-01-thumb.jpg"
196,"Kia EV4 Sedan Long Range","Available to order from June 2025*","C",5,"495 km","158 Wh/km","1.900 kg","7,7 sec","518 km","78,0 kWh","105 kW","unknown","490 L","€92 /km","* €44,000","* €45,000","* £42,000","https://ev-database.org/car/3122/Kia-EV4-Sedan-Long-Range","https://ev-database.org/img/auto/Kia_EV4_sedan_2025/Kia_EV4_sedan_2025-01-thumb.jpg"
197,"Volvo EX90 Twin Motor","Available to order since December 2022","F",7,"465 km","230 Wh/km","2.811 kg","5,9 sec","503 km","107,0 kWh","150 kW","2.200 kg","347 L","€209 /km","€91,700","€88,995","£96,255","https://ev-database.org/car/1775/Volvo-EX90-Twin-Motor","https://ev-database.org/img/auto/Volvo_EX90/Volvo_EX90-01-thumb.jpg"
198,"Tesla Model S Long Range","Discontinued (April 2019 - October 2020)","F",5,"530 km","179 Wh/km","2.255 kg","3,8 sec","561 km","95,0 kWh","110 kW","0 kg","894 L","€155 /km","€79,990","€81,005","£74,980","https://ev-database.org/car/1194/Tesla-Model-S-Long-Range","https://ev-database.org/img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg"
199,"Subaru Solterra AWD","Available to order since June 2022","C",5,"320 km","200 Wh/km","2.085 kg","6,9 sec","347 km","64,0 kWh","100 kW","750 kg","441 L","€175 /km","€57,490","€52,995","£49,995","https://ev-database.org/car/1567/Subaru-Solterra-AWD","https://ev-database.org/img/auto/Subaru_Solterra/Subaru_Solterra-01-thumb.jpg"
200,"Volkswagen e-Up!","Discontinued (August 2021 - October 2023)","A",4,"205 km","158 Wh/km","1.248 kg","11,9 sec","188 km","32,3 kWh","30 kW","0 kg","250 L","€136 /km","€29,995","€25,850","£24,085","https://ev-database.org/car/1650/Volkswagen-e-Up","https://ev-database.org/img/auto/Volkswagen_e-Up-2019/Volkswagen_e-Up-2019-01-thumb.jpg"
201,"Porsche Taycan 4S","Discontinued (May 2020 - January 2023)","F",5,"395 km","180 Wh/km","2.215 kg","4,0 sec","507 km","71,0 kWh","183 kW","0 kg","491 L","€272 /km","€108,867","€114,200","£86,500","https://ev-database.org/car/1237/Porsche-Taycan-4S","https://ev-database.org/img/auto/Porsche_Taycan_4S/Porsche_Taycan_4S-01-thumb.jpg"
202,"Tesla Model S 85","Discontinued (August 2013 - February 2016)","F",5,"405 km","199 Wh/km","2.175 kg","5,6 sec","408 km","80,8 kWh","95 kW","unknown","895 L","€220 /km","€87,400","€90,600","N/A","https://ev-database.org/car/1031/Tesla-Model-S-85","https://ev-database.org/img/auto/Tesla_Model_S/Tesla_Model_S-01-thumb.jpg"
203,"Tesla Model S 90D","Discontinued (April 2016 - June 2017)","F",5,"455 km","188 Wh/km","2.223 kg","4,4 sec","449 km","85,5 kWh","90 kW","unknown","895 L","€230 /km","€103,320","€105,735","N/A","https://ev-database.org/car/1063/Tesla-Model-S-90D","https://ev-database.org/img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg"
204,"Zeekr X Privilege AWD","Available to order since October 2023","B",5,"345 km","186 Wh/km","2.035 kg","3,8 sec","389 km","64,0 kWh","114 kW","1.600 kg","362 L","€143 /km","€50,470","€48,490","N/A","https://ev-database.org/car/1937/Zeekr-X-Privilege-AWD","https://ev-database.org/img/auto/Zeekr_X_2023/Zeekr_X_2023-01-thumb.jpg"
205,"Omoda E5","Available to order since September 2024","C",5,"345 km","177 Wh/km","1.785 kg","7,6 sec","329 km","61,0 kWh","60 kW","unknown","380 L","€110 /km","N/A","N/A","£33,055","https://ev-database.org/car/3046/Omoda-E5","https://ev-database.org/img/auto/Omoda_E5_2024/Omoda_E5_2024-01-thumb.jpg"
206,"XPENG G6 AWD Performance","Available to order since May 2024","D",5,"475 km","184 Wh/km","2.195 kg","4,1 sec","565 km","87,5 kWh","180 kW","unknown","571 L","€111 /km","€51,600","€53,990","N/A","https://ev-database.org/car/2183/XPENG-G6-AWD-Performance","https://ev-database.org/img/auto/XPENG_G6/XPENG_G6-01-thumb.jpg"
207,"Tesla Model S 85D","Discontinued (April 2015 - February 2016)","F",5,"420 km","192 Wh/km","2.184 kg","4,4 sec","423 km","80,8 kWh","95 kW","unknown","895 L","€225 /km","€92,800","€96,200","N/A","https://ev-database.org/car/1034/Tesla-Model-S-85D","https://ev-database.org/img/auto/Tesla_Model_S/Tesla_Model_S-01-thumb.jpg"
208,"Volvo EX30 Twin Motor Performance","Available to order since June 2023","B",5,"335 km","191 Wh/km","1.960 kg","3,6 sec","378 km","64,0 kWh","114 kW","1.600 kg","325 L","€149 /km","€51,690","€47,795","£43,350","https://ev-database.org/car/1911/Volvo-EX30-Twin-Motor-Performance","https://ev-database.org/img/auto/Volvo_EX30_2024/Volvo_EX30_2024-01-thumb.jpg"
209,"Hyundai IONIQ 5 Long Range 2WD","Discontinued (July 2021 - June 2022)","C",5,"370 km","189 Wh/km","1.985 kg","7,4 sec","459 km","70,0 kWh","185 kW","1.600 kg","588 L","€130 /km","€45,900","€46,500","£45,400","https://ev-database.org/car/1478/Hyundai-IONIQ-5-Long-Range-2WD","https://ev-database.org/img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb.jpg"
210,"Volkswagen ID.7 Tourer Pro","Available to order since March 2024","E",5,"470 km","164 Wh/km","2.193 kg","6,6 sec","535 km","77,0 kWh","125 kW","1.000 kg","605 L","€123 /km","€54,795","€58,990","£52,240","https://ev-database.org/car/2118/Volkswagen-ID7-Tourer-Pro","https://ev-database.org/img/auto/Volkswagen_ID7_Tourer/Volkswagen_ID7_Tourer-01-thumb.jpg"
211,"Mini Cooper SE","Available to order since November 2023","B",4,"330 km","149 Wh/km","1.680 kg","6,7 sec","356 km","49,2 kWh","75 kW","0 kg","200 L","€117 /km","€36,900","€38,990","£34,500","https://ev-database.org/car/1998/Mini-Cooper-SE","https://ev-database.org/img/auto/Mini_Cooper_Electric_2024/Mini_Cooper_Electric_2024-01-thumb.jpg"
212,"Hyundai IONIQ 9 Long Range AWD","Available to order from September 2025*","F",7,"480 km","221 Wh/km","2.700 kg","6,7 sec","543 km","106,0 kWh","195 kW","2.500 kg","672 L","€151 /km","* €73,000","* €70,000","* £65,000","https://ev-database.org/car/3068/Hyundai-IONIQ-9-Long-Range-AWD","https://ev-database.org/img/auto/Hyundai_IONIQ9_2024/Hyundai_IONIQ9_2024-01-thumb.jpg"
213,"Tesla Model X Plaid","Available to order since November 2022","F",7,"465 km","204 Wh/km","2.539 kg","2,7 sec","516 km","95,0 kWh","140 kW","2.250 kg","608 L","€280 /km","€125,970","€125,990","* £120,000","https://ev-database.org/car/1408/Tesla-Model-X-Plaid","https://ev-database.org/img/auto/Tesla_Model_X_2021/Tesla_Model_X_2021-01-thumb.jpg"
214,"Voyah Free 106 kWh","Available to order since December 2023","E",5,"480 km","208 Wh/km","2.415 kg","4,4 sec","433 km","100,0 kWh","80 kW","2.000 kg","622 L","€138 /km","N/A","€66,190","N/A","https://ev-database.org/car/2049/Voyah-Free-106-kWh","https://ev-database.org/img/auto/Voyah_Free/Voyah_Free-01-thumb.jpg"
215,"Lexus RZ 450e","Available to order since February 2023","D",5,"350 km","183 Wh/km","2.130 kg","5,6 sec","384 km","64,0 kWh","100 kW","750 kg","522 L","€183 /km","€68,000","€59,995","£55,595","https://ev-database.org/car/1677/Lexus-RZ-450e","https://ev-database.org/img/auto/Lexus_RZ_450e/Lexus_RZ_450e-01-thumb.jpg"
216,"Mercedes-Benz EQE 300","Discontinued (June 2023 - May 2024)","E",5,"525 km","170 Wh/km","2.405 kg","7,3 sec","566 km","89,0 kWh","120 kW","750 kg","430 L","€137 /km","€67,187","€69,928","£68,810","https://ev-database.org/car/1897/Mercedes-Benz-EQE-300","https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg"
217,"BMW iX2 xDrive30","Available to order since October 2023","C",5,"385 km","168 Wh/km","2.095 kg","5,6 sec","414 km","64,7 kWh","93 kW","1.200 kg","525 L","€157 /km","€56,500","€59,350","£57,445","https://ev-database.org/car/2040/BMW-iX2-xDrive30","https://ev-database.org/img/auto/BMW_iX2_2024/BMW_iX2_2024-01-thumb.jpg"
218,"Volkswagen ID.3 Pure","Available to order since May 2024","C",5,"320 km","163 Wh/km","1.787 kg","8,2 sec","361 km","52,0 kWh","90 kW","0 kg","385 L","€113 /km","€36,900","€35,990","£30,850","https://ev-database.org/car/2214/Volkswagen-ID3-Pure","https://ev-database.org/img/auto/Volkswagen_ID3_2024/Volkswagen_ID3_2024-01-thumb.jpg"
219,"Peugeot e-208 51 kWh","Available to order since August 2023","B",5,"310 km","155 Wh/km","1.550 kg","8,2 sec","338 km","48,1 kWh","80 kW","0 kg","265 L","€126 /km","€40,875","€39,170","£32,400","https://ev-database.org/car/1949/Peugeot-e-208-51-kWh","https://ev-database.org/img/auto/Peugeot_e-208_2024/Peugeot_e-208_2024-01-thumb.jpg"
220,"Volkswagen ID.5 Pro","Available to order since October 2023","C",5,"455 km","169 Wh/km","2.143 kg","6,7 sec","503 km","77,0 kWh","120 kW","1.000 kg","549 L","€118 /km","€48,970","€53,990","£50,940","https://ev-database.org/car/2031/Volkswagen-ID5-Pro","https://ev-database.org/img/auto/Volkswagen_ID5_2024/Volkswagen_ID5_2024-01-thumb.jpg"
221,"Mercedes-Benz EQS 450+","Discontinued (October 2021 - June 2023)","F",5,"635 km","170 Wh/km","2.480 kg","6,2 sec","703 km","107,8 kWh","173 kW","750 kg","610 L","€179 /km","€109,551","€109,090","£105,610","https://ev-database.org/car/1483/Mercedes-Benz-EQS-450plus","https://ev-database.org/img/auto/Mercedes_EQS_2021/Mercedes_EQS_2021-01-thumb.jpg"
222,"Renault Twingo Electric","Discontinued (November 2020 - May 2024)","A",4,"135 km","158 Wh/km","1.186 kg","12,6 sec","92 km","21,3 kWh","0 kW","0 kg","174 L","€193 /km","€28,000","€24,190","N/A","https://ev-database.org/car/1270/Renault-Twingo-Electric","https://ev-database.org/img/auto/Renault_Twingo_ZE_2020/Renault_Twingo_ZE_2020-01-thumb.jpg"
223,"Porsche Taycan","Discontinued (February 2021 - January 2023)","F",5,"410 km","173 Wh/km","2.125 kg","5,4 sec","517 km","71,0 kWh","183 kW","0 kg","491 L","€218 /km","€88,399","€93,500","£75,500","https://ev-database.org/car/1393/Porsche-Taycan","https://ev-database.org/img/auto/Porsche_Taycan/Porsche_Taycan-01-thumb.jpg"
224,"Dacia Spring Electric 65","Available to order since April 2024","A",4,"160 km","156 Wh/km","1.040 kg","13,7 sec","149 km","25,0 kWh","29 kW","0 kg","343 L","€119 /km","€18,900","€19,950","£15,995","https://ev-database.org/car/2127/Dacia-Spring-Electric-65","https://ev-database.org/img/auto/Dacia_Spring_Electric_2024/Dacia_Spring_Electric_2024-01-thumb.jpg"
225,"Audi A6 Sportback e-tron quattro","Available to order since October 2024","E",5,"585 km","162 Wh/km","2.360 kg","4,7 sec","719 km","94,9 kWh","200 kW","2.100 kg","529 L","€137 /km","€79,800","€79,990","N/A","https://ev-database.org/car/3052/Audi-A6-Sportback-e-tron-quattro","https://ev-database.org/img/auto/Audi_A6_Sportback_etron_2024/Audi_A6_Sportback_etron_2024-01-thumb.jpg"
226,"Kia EV6 GT","Discontinued (April 2022 - November 2024)","C",5,"360 km","206 Wh/km","2.200 kg","3,5 sec","449 km","74,0 kWh","200 kW","1.800 kg","500 L","€198 /km","€72,990","€69,295","£62,645","https://ev-database.org/car/1471/Kia-EV6-GT","https://ev-database.org/img/auto/Kia_EV6_GT_2021/Kia_EV6_GT_2021-01-thumb.jpg"
227,"Porsche Taycan Plus","Available to order since February 2024","F",5,"575 km","169 Wh/km","2.245 kg","4,8 sec","731 km","97,0 kWh","240 kW","0 kg","491 L","€188 /km","€107,224","€113,044","£90,954","https://ev-database.org/car/2099/Porsche-Taycan-Plus","https://ev-database.org/img/auto/Porsche_Taycan_2024/Porsche_Taycan_2024-01-thumb.jpg"
228,"Volkswagen ID.3 Pro S","Available to order since May 2024","C",5,"450 km","171 Wh/km","1.962 kg","7,1 sec","501 km","77,0 kWh","120 kW","0 kg","385 L","€100 /km","€47,595","€42,990","£39,190","https://ev-database.org/car/2210/Volkswagen-ID3-Pro-S","https://ev-database.org/img/auto/Volkswagen_ID3_2024/Volkswagen_ID3_2024-01-thumb.jpg"
229,"Opel Corsa Electric 51 kWh","Available to order since July 2023","B",5,"315 km","153 Wh/km","1.544 kg","8,1 sec","341 km","48,1 kWh","80 kW","0 kg","267 L","€124 /km","€38,045","€37,999","£35,475","https://ev-database.org/car/1942/Opel-Corsa-Electric-51-kWh","https://ev-database.org/img/auto/Opel_Corsa_Electric_2023/Opel_Corsa_Electric_2023-01-thumb.jpg"
230,"Tesla Model Y Long Range Dual Motor","Discontinued (August 2021 - January 2022)","D",5,"425 km","169 Wh/km","2.056 kg","5,0 sec","484 km","72,0 kWh","108 kW","1.600 kg","971 L","€147 /km","€59,965","€65,010","N/A","https://ev-database.org/car/1182/Tesla-Model-Y-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Tesla_Model_Y/Tesla_Model_Y-01-thumb.jpg"
231,"Kia EV6 Long Range AWD","Discontinued (October 2021 - November 2024)","C",5,"400 km","185 Wh/km","2.090 kg","5,2 sec","505 km","74,0 kWh","200 kW","1.600 kg","500 L","€146 /km","€55,980","€59,995","£51,745","https://ev-database.org/car/1482/Kia-EV6-Long-Range-AWD","https://ev-database.org/img/auto/Kia_EV6_2021/Kia_EV6_2021-01-thumb.jpg"
232,"Smart #1 Pro+","Available to order since March 2023","B",5,"335 km","185 Wh/km","1.863 kg","6,7 sec","364 km","62,0 kWh","100 kW","1.600 kg","338 L","€126 /km","€42,490","€42,400","£35,950","https://ev-database.org/car/1667/Smart-1-Proplus","https://ev-database.org/img/auto/Smart_1_2023/Smart_1_2023-01-thumb.jpg"
233,"Hyundai IONIQ 5 63 kWh RWD","Available to order since July 2024","C",5,"345 km","174 Wh/km","1.965 kg","8,5 sec","423 km","60,0 kWh","150 kW","750 kg","577 L","€128 /km","€43,900","€42,995","£39,900","https://ev-database.org/car/2235/Hyundai-IONIQ-5-63-kWh-RWD","https://ev-database.org/img/auto/Hyundai_IONIQ5_2024/Hyundai_IONIQ5_2024-01-thumb.jpg"
234,"BMW iX2 eDrive20","Available to order since January 2024","C",5,"395 km","164 Wh/km","1.960 kg","8,6 sec","427 km","64,7 kWh","93 kW","750 kg","525 L","€134 /km","€49,400","€49,976","£51,615","https://ev-database.org/car/2097/BMW-iX2-eDrive20","https://ev-database.org/img/auto/BMW_iX2_2024/BMW_iX2_2024-01-thumb.jpg"
235,"Volkswagen ID.7 Tourer GTX","Available to order since June 2024","E",5,"480 km","179 Wh/km","2.339 kg","5,5 sec","546 km","86,0 kWh","145 kW","1.200 kg","605 L","€142 /km","€63,955","€68,990","£62,670","https://ev-database.org/car/2158/Volkswagen-ID7-Tourer-GTX","https://ev-database.org/img/auto/Volkswagen_ID7_Tourer_GTX/Volkswagen_ID7_Tourer_GTX-01-thumb.jpg"
236,"Mercedes-Benz EQB 300 4MATIC","Available to order since October 2023","C",7,"345 km","193 Wh/km","2.165 kg","8,0 sec","357 km","66,5 kWh","100 kW","1.700 kg","495 L","€174 /km","€55,519","€61,379","£55,310","https://ev-database.org/car/1989/Mercedes-Benz-EQB-300-4MATIC","https://ev-database.org/img/auto/Mercedes_EQB_2024/Mercedes_EQB_2024-01-thumb.jpg"
237,"Mercedes-Benz EQS 580 4MATIC","Discontinued (June 2023 - April 2024)","F",5,"590 km","184 Wh/km","2.635 kg","4,3 sec","654 km","108,4 kWh","173 kW","750 kg","620 L","€267 /km","€141,705","€173,825","N/A","https://ev-database.org/car/2011/Mercedes-Benz-EQS-580-4MATIC","https://ev-database.org/img/auto/Mercedes_EQS_2021/Mercedes_EQS_2021-01-thumb.jpg"
238,"CUPRA Born 170 kW - 77 kWh","Available to order since June 2024","C",5,"460 km","167 Wh/km","1.969 kg","7,0 sec","512 km","77,0 kWh","125 kW","0 kg","385 L","€99 /km","€47,250","€41,990","£41,795","https://ev-database.org/car/2234/CUPRA-Born-170-kW---77-kWh","https://ev-database.org/img/auto/Cupra_el-Born/Cupra_el-Born-01-thumb.jpg"
